Organization Name,Organization Type (Main Category),Organization Type (Sub-categories),Website,Country,State or Province,City,Street Address 1,Street Address 2,Postal Code,Contact First Name,Contact Last Name,Email,Organization Bio,Certified MWBE,Location
"2SAFE Consulting, Inc.",Consulting Services,"Business Advisory,Construction Support,Due Diligence,Engineering (Environmental),Environmental Consulting,Environmental Impact Assessment (EIA),Other Consulting,Regulatory Consulting,Risk Assessment,Technical Testing and Validation,Verification and Compliance",2safeconsulting.com,USA,New York,East Meadow,"1975 Hempstead Turnpike, 408",,11554,Kristen M.,Panella,kpanella@2safeconsulting.com,"2SAFE Consulting, Inc. can fulfill all of your training and compliance needs.  We are a full service provider for all of your environmental health and safety needs.  Environmental issues have become an integral part of any company.  2SAFE can make sure you and your employees are fully compliant with all of today's vast and confusing federal, state and local regulatory agencies standards.  2SAFE gives you honest and useful answers to ensure your company is safe and productive.

We provide Environmental Health and Safety Training and consulting.",No,POINT (-73.56316 40.7245)
"2SAFE Consulting, Inc.",Specialist Services,"Certification Company,O&M Support Services,O&M Work Contractor (Specialist),Offshore Wind-related Consulting,Other Consulting,Other Specialist Services,Risk Assessment and DD Services,Specialised Waste Disposal Services",2safeconsulting.com,USA,New York,East Meadow,"1975 Hempstead Turnpike, 408",,11554,Kristen M.,Panella,kpanella@2safeconsulting.com,"2SAFE Consulting, Inc. can fulfill all of your training and compliance needs.  We are a full service provider for all of your environmental health and safety needs.  Environmental issues have become an integral part of any company.  2SAFE can make sure you and your employees are fully compliant with all of today's vast and confusing federal, state and local regulatory agencies standards.  2SAFE gives you honest and useful answers to ensure your company is safe and productive.

We provide Environmental Health and Safety Training and consulting.",No,POINT (-73.56316 40.7245)
6 Alpha Associates LLC,Consulting Services,Technical Surveys (Analyse),www.6alpha.com,USA,Rhode Island,Providence,"225 Dyer Street, 2nd Floor",,2093,Simon,Cooke,enquiry@6alpha.com,"6 Alpha Associates has offered industry leading UXO risk management services since 2004, in both the land and offshore environments.  Our services are not only compliant with recognised industry best-practice but are also differentiated by delivering acknowledged client benefits including: the accurate, timely and professional assessment of risk together with the delivery of appropriate, cost effective risk management solutions, taking into account clients’ schedule and other constraints.",,POINT (-71.40844 41.81996)
6 Alpha Associates LLC,Specialist Services,Specialist Technical Surveys,www.6alpha.com,USA,Rhode Island,Providence,"225 Dyer Street, 2nd Floor",,2093,Simon,Cooke,enquiry@6alpha.com,"6 Alpha Associates has offered industry leading UXO risk management services since 2004, in both the land and offshore environments.  Our services are not only compliant with recognised industry best-practice but are also differentiated by delivering acknowledged client benefits including: the accurate, timely and professional assessment of risk together with the delivery of appropriate, cost effective risk management solutions, taking into account clients’ schedule and other constraints.",,POINT (-71.40844 41.81996)
A and S Electric Inc.,Onshore Construction Services,Electrical Works (Electrician),Not provided,USA,New York,Brooklyn,952 Flushing Avenue,Suite 3,11206,,,,A and S Electric Inc. is a local electrical contractor.,,POINT (-73.93291 40.7031)
A Plus Sheetmetal Inc.,Manufacturing and Fabrication Srvcs.,Sheet Metal Working,Not provided,USA,New York,Bohemia,105 DaVinci Drive,,11716,,,,"A Plus Sheetmetal Inc. is a sheet metal working contractor in Bohemia, NY.",,POINT (-73.09952 40.77449)
A2Sea A/S,Offshore Const./Ops. and Vessels,Jack-up Heavy Lift Vessel Supply; Offshore Construction Services (Heavy); Offshore Transport Services (Heavy); Offshore O&M Services,www.a2sea.com/,Denmark,South Denmark,Fredericia,Kongens Kvarter 51,,DK-7000,,,,"A2SEA is an offshore wind farm installation and services company based in Fredericia, Denmark. The company specializes in transport and installation of offshore wind foundations and turbines, with another area of focus on operations and maintenance logistics. GeaSea NV (DEME Group) acquired A2Sea at end August 2017 but A2Sea continues to operate as a separate brand.",,
A.C. Spear Electric Inc.,Onshore Construction Services,Electrical Works (Electrician),www.acspearelectricinc.com/,USA,New York,Binghamton,1869 Pierce Creek Road,,13903,,,,"A.C. Spear Electric Inc. is an electrical contracting company serving upstate New York and Pennsylvania areas. Their services range from service upgrades to full new installations for Commercial, Residential and Industrial projects.",,POINT (-75.87627 42.06584)
A.M.R. Electrical Contracting Corp.,Onshore Construction Services,Electrical Works (Electrician),www.amrelectric.net/,USA,New York,Bronx,875 East 145th Street,,10455,,,,"A.M.R. Electrical Contracting is an electrical contractor whose scope of work includes government contracts, commercial properties, residential developments. Supports other construction industry companies with inventory, staff and training.",,POINT (-73.90666 40.80981)
AAA Reinforcing LLC,Labor Organizations,Labor Union (Metalworking),aaareinforcingllc.com,USA,New York,Hudson,6587 W Atlantic Avenue,,12534,Amber,Stevenson,aaareinforcingllc@yahoo.com,"AAA Reinforcing LLC was formed in 2005. We are a Union Reinforcing Steel Contractor. AAA does work from Rockland County north to the Canadian Border and as far west as Syracuse NY. AAA has successfully completed projects in these areas over the span of 15 years in business. We have been associated with some of the most notable in the state, some examples are: Global Foundries, Johnson City Water Treatment Facility, Vassar Brothers Hospital, and Port of Albany WHARF, to name a few. AAA has placed rebar in Schools, Water Treatment Facilities, High Rises, Bridges on the NYS Thruway and Major Roadways.",Yes,POINT (-73.75546 42.28451)
